Latitude,Longitude,Elevation,Speed
34.875912,33.603124,14,80
34.875871,33.603122,14,80
34.875832,33.603126,14,80
34.875794,33.603131,14,80
34.875641,33.603125,14,80
34.875586,33.603097,14,80
34.875564,33.603084,14,80
34.875537,33.603071,15,80
34.875376,33.602948,15,80
34.87535,33.602923,15,80
34.875293,33.602849,15,80
34.875284,33.602835,15,80
34.875285,33.602836,15,80
34.87529,33.602839,15,80
34.87529,33.60284,15,80
34.875291,33.602841,15,80
34.875292,33.602842,15,80
34.875293,33.602843,15,80
34.875293,33.602842,15,80
34.875299,33.60284,15,80
34.875295,33.60282,15,80
34.875282,33.602775,16,80
34.875269,33.602745,16,80
34.875258,33.60271,16,80
34.87525,33.602673,16,80
34.875242,33.602532,16,80
34.875185,33.602031,18,80
34.874877,33.601587,19,80
34.874458,33.601119,17,80
34.874267,33.600993,18,80
34.874257,33.600979,19,80
34.874247,33.600967,19,80
34.874236,33.60096,19,80
34.874224,33.600957,19,80
34.874213,33.600956,19,80
34.874212,33.600942,19,80
34.874227,33.600916,19,80
34.874272,33.600885,19,80
34.874282,33.60087,19,80
34.874351,33.600712,18,80
34.874416,33.600647,17,80
34.874416,33.600648,17,80
34.874485,33.600607,17,80
34.874581,33.600517,17,80
34.874881,33.600253,16,80
34.875384,33.599767,17,80
34.876086,33.5991,17,80
34.876718,33.598834,19,80
34.876802,33.598779,20,80
34.876831,33.598742,20,80
34.876852,33.598698,20,80
34.876866,33.598651,20,80
34.876871,33.598603,20,80
34.876868,33.598554,20,80
34.876859,33.598509,21,80
34.876849,33.598468,21,80
34.87684,33.598268,21,80
34.877065,33.59805,20,80
34.877122,33.598019,20,80
34.877428,33.597762,19,80
34.877953,33.59727,19,80
34.878586,33.596666,19,80
34.878963,33.596346,19,80
34.879197,33.596422,20,80
34.879214,33.596447,20,80
34.87913,33.59655,19,80
34.879112,33.596515,19,80
34.879064,33.596466,19,80
34.879039,33.596454,19,80
34.879041,33.596434,19,80
34.879051,33.59641,19,80
34.879072,33.596386,19,80
34.879078,33.596378,19,80
34.879087,33.596385,19,80
34.879089,33.596366,19,80
34.879092,33.596391,19,80
34.879071,33.59639,19,80
34.879044,33.596393,19,80
34.879026,33.59641,19,80
34.879018,33.596419,19,80
34.879001,33.596419,19,80
34.878997,33.596431,19,80
34.879019,33.596421,19,80
34.879042,33.596406,19,80
34.879047,33.596395,19,80
34.879043,33.596401,19,80
34.879042,33.596396,19,80
34.879044,33.596391,19,80
34.879046,33.596401,19,80
34.879035,33.596414,19,80
34.879025,33.596437,19,80
34.879013,33.596441,19,80
34.879029,33.596436,19,80
34.879036,33.596433,19,80
34.879039,33.596422,19,80
34.879048,33.596423,19,80
34.879057,33.596432,19,80
34.879051,33.596446,19,80
34.879044,33.596446,19,80
34.879046,33.596448,19,80
34.879043,33.596452,19,80
34.879035,33.596448,19,80
